date_key,year,month_number,month_name,day_name,week_of_year,is_weekend,quarter
2024-01-01,2024,1,January,Monday,1,False,1
2024-01-02,2024,1,January,Tuesday,1,False,1
2024-01-03,2024,1,January,Wednesday,1,False,1
2024-01-04,2024,1,January,Thursday,1,False,1
2024-01-05,2024,1,January,Friday,1,False,1
2024-01-06,2024,1,January,Saturday,1,True,1
2024-01-07,2024,1,January,Sunday,1,True,1
2024-01-08,2024,1,January,Monday,2,False,1
2024-01-09,2024,1,January,Tuesday,2,False,1
2024-01-10,2024,1,January,Wednesday,2,False,1
2024-01-11,2024,1,January,Thursday,2,False,1
2024-01-12,2024,1,January,Friday,2,False,1
2024-01-13,2024,1,January,Saturday,2,True,1
2024-01-14,2024,1,January,Sunday,2,True,1
2024-01-15,2024,1,January,Monday,3,False,1
2024-01-16,2024,1,January,Tuesday,3,False,1
2024-01-17,2024,1,January,Wednesday,3,False,1
2024-01-18,2024,1,January,Thursday,3,False,1
2024-01-19,2024,1,January,Friday,3,False,1
2024-01-20,2024,1,January,Saturday,3,True,1
2024-01-21,2024,1,January,Sunday,3,True,1
2024-01-22,2024,1,January,Monday,4,False,1
2024-01-23,2024,1,January,Tuesday,4,False,1
2024-01-24,2024,1,January,Wednesday,4,False,1
2024-01-25,2024,1,January,Thursday,4,False,1
2024-01-26,2024,1,January,Friday,4,False,1
2024-01-27,2024,1,January,Saturday,4,True,1
2024-01-28,2024,1,January,Sunday,4,True,1
2024-01-29,2024,1,January,Monday,5,False,1
2024-01-30,2024,1,January,Tuesday,5,False,1
2024-01-31,2024,1,January,Wednesday,5,False,1
2024-02-01,2024,2,February,Thursday,5,False,1
2024-02-02,2024,2,February,Friday,5,False,1
2024-02-03,2024,2,February,Saturday,5,True,1
2024-02-04,2024,2,February,Sunday,5,True,1
2024-02-05,2024,2,February,Monday,6,False,1
2024-02-06,2024,2,February,Tuesday,6,False,1
2024-02-07,2024,2,February,Wednesday,6,False,1
2024-02-08,2024,2,February,Thursday,6,False,1
2024-02-09,2024,2,February,Friday,6,False,1
2024-02-10,2024,2,February,Saturday,6,True,1
2024-02-11,2024,2,February,Sunday,6,True,1
2024-02-12,2024,2,February,Monday,7,False,1
2024-02-13,2024,2,February,Tuesday,7,False,1
2024-02-14,2024,2,February,Wednesday,7,False,1
2024-02-15,2024,2,February,Thursday,7,False,1
2024-02-16,2024,2,February,Friday,7,False,1
2024-02-17,2024,2,February,Saturday,7,True,1
2024-02-18,2024,2,February,Sunday,7,True,1
2024-02-19,2024,2,February,Monday,8,False,1
2024-02-20,2024,2,February,Tuesday,8,False,1
2024-02-21,2024,2,February,Wednesday,8,False,1
2024-02-22,2024,2,February,Thursday,8,False,1
2024-02-23,2024,2,February,Friday,8,False,1
2024-02-24,2024,2,February,Saturday,8,True,1
2024-02-25,2024,2,February,Sunday,8,True,1
2024-02-26,2024,2,February,Monday,9,False,1
2024-02-27,2024,2,February,Tuesday,9,False,1
2024-02-28,2024,2,February,Wednesday,9,False,1
2024-02-29,2024,2,February,Thursday,9,False,1
2024-03-01,2024,3,March,Friday,9,False,1
2024-03-02,2024,3,March,Saturday,9,True,1
2024-03-03,2024,3,March,Sunday,9,True,1
2024-03-04,2024,3,March,Monday,10,False,1
2024-03-05,2024,3,March,Tuesday,10,False,1
2024-03-06,2024,3,March,Wednesday,10,False,1
2024-03-07,2024,3,March,Thursday,10,False,1
2024-03-08,2024,3,March,Friday,10,False,1
2024-03-09,2024,3,March,Saturday,10,True,1
2024-03-10,2024,3,March,Sunday,10,True,1
2024-03-11,2024,3,March,Monday,11,False,1
2024-03-12,2024,3,March,Tuesday,11,False,1
2024-03-13,2024,3,March,Wednesday,11,False,1
2024-03-14,2024,3,March,Thursday,11,False,1
2024-03-15,2024,3,March,Friday,11,False,1
2024-03-16,2024,3,March,Saturday,11,True,1
2024-03-17,2024,3,March,Sunday,11,True,1
2024-03-18,2024,3,March,Monday,12,False,1
2024-03-19,2024,3,March,Tuesday,12,False,1
2024-03-20,2024,3,March,Wednesday,12,False,1
2024-03-21,2024,3,March,Thursday,12,False,1
2024-03-22,2024,3,March,Friday,12,False,1
2024-03-23,2024,3,March,Saturday,12,True,1
2024-03-24,2024,3,March,Sunday,12,True,1
2024-03-25,2024,3,March,Monday,13,False,1
2024-03-26,2024,3,March,Tuesday,13,False,1
2024-03-27,2024,3,March,Wednesday,13,False,1
2024-03-28,2024,3,March,Thursday,13,False,1
2024-03-29,2024,3,March,Friday,13,False,1
2024-03-30,2024,3,March,Saturday,13,True,1
2024-03-31,2024,3,March,Sunday,13,True,1
2024-04-01,2024,4,April,Monday,14,False,2
2024-04-02,2024,4,April,Tuesday,14,False,2
2024-04-03,2024,4,April,Wednesday,14,False,2
2024-04-04,2024,4,April,Thursday,14,False,2
2024-04-05,2024,4,April,Friday,14,False,2
2024-04-06,2024,4,April,Saturday,14,True,2
2024-04-07,2024,4,April,Sunday,14,True,2
2024-04-08,2024,4,April,Monday,15,False,2
2024-04-09,2024,4,April,Tuesday,15,False,2
2024-04-10,2024,4,April,Wednesday,15,False,2
2024-04-11,2024,4,April,Thursday,15,False,2
2024-04-12,2024,4,April,Friday,15,False,2
2024-04-13,2024,4,April,Saturday,15,True,2
2024-04-14,2024,4,April,Sunday,15,True,2
2024-04-15,2024,4,April,Monday,16,False,2
2024-04-16,2024,4,April,Tuesday,16,False,2
2024-04-17,2024,4,April,Wednesday,16,False,2
2024-04-18,2024,4,April,Thursday,16,False,2
2024-04-19,2024,4,April,Friday,16,False,2
2024-04-20,2024,4,April,Saturday,16,True,2
2024-04-21,2024,4,April,Sunday,16,True,2
2024-04-22,2024,4,April,Monday,17,False,2
2024-04-23,2024,4,April,Tuesday,17,False,2
2024-04-24,2024,4,April,Wednesday,17,False,2
2024-04-25,2024,4,April,Thursday,17,False,2
2024-04-26,2024,4,April,Friday,17,False,2
2024-04-27,2024,4,April,Saturday,17,True,2
2024-04-28,2024,4,April,Sunday,17,True,2
2024-04-29,2024,4,April,Monday,18,False,2
2024-04-30,2024,4,April,Tuesday,18,False,2
2024-05-01,2024,5,May,Wednesday,18,False,2
2024-05-02,2024,5,May,Thursday,18,False,2
2024-05-03,2024,5,May,Friday,18,False,2
2024-05-04,2024,5,May,Saturday,18,True,2
2024-05-05,2024,5,May,Sunday,18,True,2
2024-05-06,2024,5,May,Monday,19,False,2
2024-05-07,2024,5,May,Tuesday,19,False,2
2024-05-08,2024,5,May,Wednesday,19,False,2
2024-05-09,2024,5,May,Thursday,19,False,2
2024-05-10,2024,5,May,Friday,19,False,2
2024-05-11,2024,5,May,Saturday,19,True,2
2024-05-12,2024,5,May,Sunday,19,True,2
2024-05-13,2024,5,May,Monday,20,False,2
2024-05-14,2024,5,May,Tuesday,20,False,2
2024-05-15,2024,5,May,Wednesday,20,False,2
2024-05-16,2024,5,May,Thursday,20,False,2
2024-05-17,2024,5,May,Friday,20,False,2
2024-05-18,2024,5,May,Saturday,20,True,2
2024-05-19,2024,5,May,Sunday,20,True,2
2024-05-20,2024,5,May,Monday,21,False,2
2024-05-21,2024,5,May,Tuesday,21,False,2
2024-05-22,2024,5,May,Wednesday,21,False,2
2024-05-23,2024,5,May,Thursday,21,False,2
2024-05-24,2024,5,May,Friday,21,False,2
2024-05-25,2024,5,May,Saturday,21,True,2
2024-05-26,2024,5,May,Sunday,21,True,2
2024-05-27,2024,5,May,Monday,22,False,2
2024-05-28,2024,5,May,Tuesday,22,False,2
2024-05-29,2024,5,May,Wednesday,22,False,2
2024-05-30,2024,5,May,Thursday,22,False,2
2024-05-31,2024,5,May,Friday,22,False,2
2024-06-01,2024,6,June,Saturday,22,True,2
2024-06-02,2024,6,June,Sunday,22,True,2
2024-06-03,2024,6,June,Monday,23,False,2
2024-06-04,2024,6,June,Tuesday,23,False,2
2024-06-05,2024,6,June,Wednesday,23,False,2
2024-06-06,2024,6,June,Thursday,23,False,2
2024-06-07,2024,6,June,Friday,23,False,2
2024-06-08,2024,6,June,Saturday,23,True,2
2024-06-09,2024,6,June,Sunday,23,True,2
2024-06-10,2024,6,June,Monday,24,False,2
2024-06-11,2024,6,June,Tuesday,24,False,2
2024-06-12,2024,6,June,Wednesday,24,False,2
2024-06-13,2024,6,June,Thursday,24,False,2
2024-06-14,2024,6,June,Friday,24,False,2
2024-06-15,2024,6,June,Saturday,24,True,2
2024-06-16,2024,6,June,Sunday,24,True,2
2024-06-17,2024,6,June,Monday,25,False,2
2024-06-18,2024,6,June,Tuesday,25,False,2
2024-06-19,2024,6,June,Wednesday,25,False,2
2024-06-20,2024,6,June,Thursday,25,False,2
2024-06-21,2024,6,June,Friday,25,False,2
2024-06-22,2024,6,June,Saturday,25,True,2
2024-06-23,2024,6,June,Sunday,25,True,2
2024-06-24,2024,6,June,Monday,26,False,2
2024-06-25,2024,6,June,Tuesday,26,False,2
2024-06-26,2024,6,June,Wednesday,26,False,2
2024-06-27,2024,6,June,Thursday,26,False,2
2024-06-28,2024,6,June,Friday,26,False,2
2024-06-29,2024,6,June,Saturday,26,True,2
2024-06-30,2024,6,June,Sunday,26,True,2
2024-07-01,2024,7,July,Monday,27,False,3
2024-07-02,2024,7,July,Tuesday,27,False,3
2024-07-03,2024,7,July,Wednesday,27,False,3
2024-07-04,2024,7,July,Thursday,27,False,3
2024-07-05,2024,7,July,Friday,27,False,3
2024-07-06,2024,7,July,Saturday,27,True,3
2024-07-07,2024,7,July,Sunday,27,True,3
2024-07-08,2024,7,July,Monday,28,False,3
2024-07-09,2024,7,July,Tuesday,28,False,3
2024-07-10,2024,7,July,Wednesday,28,False,3
2024-07-11,2024,7,July,Thursday,28,False,3
2024-07-12,2024,7,July,Friday,28,False,3
2024-07-13,2024,7,July,Saturday,28,True,3
2024-07-14,2024,7,July,Sunday,28,True,3
2024-07-15,2024,7,July,Monday,29,False,3
2024-07-16,2024,7,July,Tuesday,29,False,3
2024-07-17,2024,7,July,Wednesday,29,False,3
2024-07-18,2024,7,July,Thursday,29,False,3
2024-07-19,2024,7,July,Friday,29,False,3
2024-07-20,2024,7,July,Saturday,29,True,3
2024-07-21,2024,7,July,Sunday,29,True,3
2024-07-22,2024,7,July,Monday,30,False,3
2024-07-23,2024,7,July,Tuesday,30,False,3
2024-07-24,2024,7,July,Wednesday,30,False,3
2024-07-25,2024,7,July,Thursday,30,False,3
2024-07-26,2024,7,July,Friday,30,False,3
2024-07-27,2024,7,July,Saturday,30,True,3
2024-07-28,2024,7,July,Sunday,30,True,3
2024-07-29,2024,7,July,Monday,31,False,3
2024-07-30,2024,7,July,Tuesday,31,False,3
2024-07-31,2024,7,July,Wednesday,31,False,3
2024-08-01,2024,8,August,Thursday,31,False,3
2024-08-02,2024,8,August,Friday,31,False,3
2024-08-03,2024,8,August,Saturday,31,True,3
2024-08-04,2024,8,August,Sunday,31,True,3
2024-08-05,2024,8,August,Monday,32,False,3
2024-08-06,2024,8,August,Tuesday,32,False,3
2024-08-07,2024,8,August,Wednesday,32,False,3
2024-08-08,2024,8,August,Thursday,32,False,3
2024-08-09,2024,8,August,Friday,32,False,3
2024-08-10,2024,8,August,Saturday,32,True,3
2024-08-11,2024,8,August,Sunday,32,True,3
2024-08-12,2024,8,August,Monday,33,False,3
2024-08-13,2024,8,August,Tuesday,33,False,3
2024-08-14,2024,8,August,Wednesday,33,False,3
2024-08-15,2024,8,August,Thursday,33,False,3
2024-08-16,2024,8,August,Friday,33,False,3
2024-08-17,2024,8,August,Saturday,33,True,3
2024-08-18,2024,8,August,Sunday,33,True,3
2024-08-19,2024,8,August,Monday,34,False,3
2024-08-20,2024,8,August,Tuesday,34,False,3
2024-08-21,2024,8,August,Wednesday,34,False,3
2024-08-22,2024,8,August,Thursday,34,False,3
2024-08-23,2024,8,August,Friday,34,False,3
2024-08-24,2024,8,August,Saturday,34,True,3
2024-08-25,2024,8,August,Sunday,34,True,3
2024-08-26,2024,8,August,Monday,35,False,3
2024-08-27,2024,8,August,Tuesday,35,False,3
2024-08-28,2024,8,August,Wednesday,35,False,3
2024-08-29,2024,8,August,Thursday,35,False,3
2024-08-30,2024,8,August,Friday,35,False,3
2024-08-31,2024,8,August,Saturday,35,True,3
2024-09-01,2024,9,September,Sunday,35,True,3
2024-09-02,2024,9,September,Monday,36,False,3
2024-09-03,2024,9,September,Tuesday,36,False,3
2024-09-04,2024,9,September,Wednesday,36,False,3
2024-09-05,2024,9,September,Thursday,36,False,3
2024-09-06,2024,9,September,Friday,36,False,3
2024-09-07,2024,9,September,Saturday,36,True,3
2024-09-08,2024,9,September,Sunday,36,True,3
2024-09-09,2024,9,September,Monday,37,False,3
2024-09-10,2024,9,September,Tuesday,37,False,3
2024-09-11,2024,9,September,Wednesday,37,False,3
2024-09-12,2024,9,September,Thursday,37,False,3
2024-09-13,2024,9,September,Friday,37,False,3
2024-09-14,2024,9,September,Saturday,37,True,3
2024-09-15,2024,9,September,Sunday,37,True,3
2024-09-16,2024,9,September,Monday,38,False,3
2024-09-17,2024,9,September,Tuesday,38,False,3
2024-09-18,2024,9,September,Wednesday,38,False,3
2024-09-19,2024,9,September,Thursday,38,False,3
2024-09-20,2024,9,September,Friday,38,False,3
2024-09-21,2024,9,September,Saturday,38,True,3
2024-09-22,2024,9,September,Sunday,38,True,3
2024-09-23,2024,9,September,Monday,39,False,3
2024-09-24,2024,9,September,Tuesday,39,False,3
2024-09-25,2024,9,September,Wednesday,39,False,3
2024-09-26,2024,9,September,Thursday,39,False,3
2024-09-27,2024,9,September,Friday,39,False,3
2024-09-28,2024,9,September,Saturday,39,True,3
2024-09-29,2024,9,September,Sunday,39,True,3
2024-09-30,2024,9,September,Monday,40,False,3
2024-10-01,2024,10,October,Tuesday,40,False,4
2024-10-02,2024,10,October,Wednesday,40,False,4
2024-10-03,2024,10,October,Thursday,40,False,4
2024-10-04,2024,10,October,Friday,40,False,4
2024-10-05,2024,10,October,Saturday,40,True,4
2024-10-06,2024,10,October,Sunday,40,True,4
2024-10-07,2024,10,October,Monday,41,False,4
2024-10-08,2024,10,October,Tuesday,41,False,4
2024-10-09,2024,10,October,Wednesday,41,False,4
2024-10-10,2024,10,October,Thursday,41,False,4
2024-10-11,2024,10,October,Friday,41,False,4
2024-10-12,2024,10,October,Saturday,41,True,4
2024-10-13,2024,10,October,Sunday,41,True,4
2024-10-14,2024,10,October,Monday,42,False,4
2024-10-15,2024,10,October,Tuesday,42,False,4
2024-10-16,2024,10,October,Wednesday,42,False,4
2024-10-17,2024,10,October,Thursday,42,False,4
