department_name,shift_type,flagged_shift_count,avg_patients_per_nurse,avg_wait_minutes
Emergency,Afternoon,155,3.632106549364614,37.45957084596795
Orthopedics,Afternoon,149,1.5665548098434003,28.97678588562817
Pediatrics,Afternoon,140,2.5416666666666665,33.81683070302714
Internal Medicine,Afternoon,138,1.8530365769496204,30.90588505692532
Cardiology,Afternoon,133,1.8471177944862154,30.773442889608305
General Surgery,Afternoon,124,1.4400537634408601,34.07687612342854
Neurology,Afternoon,122,1.5428961748633878,30.693141751236013
Obstetrics & Gynecology,Afternoon,121,1.4800275482093666,26.523881770204085
Pediatrics,Morning,121,2.496969696969697,33.299237261819904
Emergency,Morning,115,3.540847920195746,36.97518597247835
Orthopedics,Morning,108,1.5479497354497354,28.897838203463202
Neurology,Morning,107,1.5510903426791278,30.899213024773772
Internal Medicine,Morning,106,1.7552785265049418,30.422757237521388
Cardiology,Morning,104,1.722275641025641,29.92770363717479
Obstetrics & Gynecology,Morning,99,1.4869648869648868,26.398688654218958
General Surgery,Morning,93,1.4206861239119302,33.66258638016703
Pediatrics,Night,13,2.076923076923077,31.076666666666668
Orthopedics,Night,13,1.4743589743589745,28.75166666666667
Neurology,Night,9,1.7037037037037035,32.30185185185186
Cardiology,Night,9,1.9259259259259258,30.41907407407407
Obstetrics & Gynecology,Night,7,1.7023809523809523,28.769897959183673
Internal Medicine,Night,6,1.6666666666666667,30.509722222222223
General Surgery,Night,4,1.4791666666666667,33.445
Emergency,Night,2,3.35,33.81160714285714
